0 (6, 27), Node with key(6, 27), S Vector: [3.19511, 0.790044, 0.0542273, -0.00133242, -0.000321017], d Vector: [], has_children: 0)
Printer:: Node with info: (Key:1 (7, 68), Node with key(7, 68), S Vector: [-7.04325, 0.105053, 0.0284426, -0.000878171, -0.000123976], d Vector: [], has_children: 0)
Printer:: Node with info: (Key:1 (7, 58), Node with key(7, 58), S Vector: [6.35415, 0.280814, -0.0169212, -0.000904122, -9.45509e-05], d Vector: [], has_children: 0)
Printer:: Node with info: (Key:1 (7, 58), Node with key(7, 58), S Vector: [6.35415, 0.280814, -0.0169212, -0.000904122, -9.45509e-05], d Vector: [], has_children: 0)Printer:: Node with info: (Key:
1 (7, 62), Node with key(7, 62), S Vector: [4.05514, -0.675536, -0.026463, 0.00113866, 3.76392e-05], d Vector: [], has_children: 0)
Printer:: Node with info: (Key:1 (7, 59), Node with key(7, 59), S Vector: [7.04325, 0.105053, -0.0284426, -0.000878171, 0.000123976], d Vector: [], has_children: 0)
Printer:: Node with info: (Key:1 (7, 63), Node with key(7, 63), S Vector: [1.43634, -0.819149, -0.00977384, 0.00160132, 1.44522e-05], d Vector: [], has_children: 0)
Printer:: Node with info: (Key:1 (7, 60), Node with key(7, 60), S Vector: [6.9843, -0.147058, -0.0357685, -0.000444113, 0.000147315], d Vector: [], has_children: 0)
Printer:: Node with info: (Key:1 (7, 61), Node with key(7, 61), S Vector: [5.98564, -0.429451, -0.035724, 0.00039683, 4.6526e-05], d Vector: [], has_children: 0)
Printer:: Node with info: (Key:1 (7, 62), Node with key(7, 62), S Vector: [4.05514, -0.675536, -0.026463, 0.00113866, 3.76392e-05], d Vector: [], has_children: 0)
Printer:: Node with info: (Key:1 (7, 63), Node with key(7, 63), S Vector: [1.43634, -0.819149, -0.00977384, 0.00160132, 1.44522e-05], d Vector: [], has_children: 0)
Printer:: Node with info: (Key:1 (7, 68), Node with key(7, 68), S Vector: [-7.04325, 0.105053, 0.0284426, -0.000878171, -0.000123976], d Vector: [], has_children: 0)
Printer:: Node with info: (Key:1 (7, 69), Node with key(7, 69), S Vector: [-6.35415, 0.280814, 0.0169212, -0.000904122, 9.45509e-05], d Vector: [], has_children: 0)

Norm of function is 1
Time taken during computation: 0.029066
